"Buch1" "Buch2" "Buch3" "Buch4" "Buch5" "Buch8"
"einer" 0.213085838078439 0.182002730040951 0.187725717827388 0.178171330504839 0.196610169491525 0.159684029473595
"römische" 0.157446758135736 0.232170149218905 0.227058725372174 0.187705582304429 0.119774011299435 0.1970568874355
"einen" 0.155079137712642 0.176169309206305 0.194877173744622 0.200219287791391 0.197514124293785 0.155861805363854
"waren" 0.11009434967386 0.191336203376384 0.194281219084852 0.184726128617057 0.221468926553672 0.154163039092859
"ihm" 0.0828667148082819 0.122501837527563 0.206200312280242 0.209753539590981 0.226892655367232 0.121886479943941
"mehr" 0.123116262000876 0.176169309206305 0.181766171229693 0.179363111979787 0.177175141242938 0.143970441466885
"schon" 0.185858203212861 0.204169729212605 0.186533808507849 0.172808313867569 0.147796610169492 0.135476610111906
"haben" 0.249783954636393 0.171502572538588 0.131110025149287 0.101897316108118 0.0931073446327684 0.241649502049137
"werden" 0.214269648289986 0.16916920420473 0.134089798448134 0.124541164132145 0.125649717514124 0.194084046461258
"seiner" 0.0591905105773442 0.108501627524413 0.13826148106652 0.194260380416647 0.217401129943503 0.125284012485932
"hat" 0.262805866963408 0.123668521694492 0.0941608362435786 0.0768699051341946 0.101242937853107 0.269254453952817
"zur" 0.105359108827673 0.198336308377959 0.157927984838913 0.169828860180197 0.152316384180791 0.127407470324677
"am" 0.160998188770376 0.136502047530713 0.133493843788365 0.12930829003194 0.153220338983051 0.162656870447837
"wurden" 0.100623867981485 0.172669256705517 0.151968438241219 0.172212423130095 0.149152542372881 0.129530928163421
"wohl" 0.213085838078439 0.175002625039376 0.134089798448134 0.096534299470849 0.112994350282486 0.18134329942879
"doch" 0.160998188770376 0.164502467537013 0.1620996674573 0.142417886256376 0.169039548022599 0.0887605376595248
"ohne" 0.136138174327892 0.145835520866146 0.145412936983754 0.151356247318492 0.154576271186441 0.120612405240694
"bis" 0.123116262000876 0.122501837527563 0.135281707767673 0.138246651094055 0.122485875706215 0.180069224725543
"ihre" 0.104175298616126 0.157502362535438 0.137665526406751 0.126328836344568 0.16180790960452 0.130805002866668
"hier" 0.158630568347283 0.100334838355909 0.119190931953897 0.101897316108118 0.119322033898305 0.193659354893509
"sind" 0.3610621145218 0.114335048359059 0.0864134256665753 0.0625685274348095 0.0587570621468927 0.223812456203682
"welche" 0.151527707078001 0.184336098374809 0.121574750592975 0.0995137531582209 0.0903954802259887 0.187288981377275
"römer" 0.07221242290436 0.186669466708667 0.216927496156092 0.123349382657196 0.0908474576271186 0.118488947401949
"was" 0.140873415174079 0.120168469193705 0.15077652892168 0.134671306669209 0.115254237288136 0.112118573885716
"einem" 0.134954364116345 0.108501627524413 0.125150478551592 0.129904180769414 0.133785310734463 0.101925976259741
"hatten" 0.0355143063464065 0.136502047530713 0.13885743572629 0.131095962244363 0.138757062146893 0.11041980761472
"worden" 0.130219123270157 0.116668416692917 0.101312292160812 0.0881918291462078 0.0849717514124294 0.183466757267534
"wo" 0.138505794750986 0.116668416692917 0.118594977294127 0.139438432569004 0.132429378531073 0.0840889304142866
"allein" 0.0686609922697193 0.1120016800252 0.188321672487157 0.150164465843543 0.148248587570621 0.0331259422844159
"dies" 0.10654291903922 0.110834995858271 0.0899891536251922 0.0947466272584259 0.0998870056497175 0.167328477693075
"da" 0.0899695760775632 0.101501522522838 0.119190931953897 0.103684988320542 0.112994350282486 0.125284012485932
"stadt" 0.101807678193032 0.143502152532288 0.112635430696433 0.0995137531582209 0.0605649717514124 0.151190198118616
"caesar" 0.00118381021154688 0 0.00119190931953897 0.0172808313867569 0.4 0.0552099038073599
