lemma,count,per_1000
rechtsgleichheit,11,0.314
sklave,11,0.314
formell,11,0.314
zulassen,11,0.314
familie,11,0.314
rede,11,0.314
rat,11,0.314
enthalten,11,0.314
haufen,11,0.314
darstellen,11,0.314
arm,11,0.314
verlust,11,0.314
genau,11,0.314
merkwürdig,11,0.314
lager,11,0.314
unterwerfen,11,0.314
ziel,11,0.314
klasse,11,0.314
schnell,11,0.314
erheben,11,0.314
gegend,11,0.314
volkstribunat,11,0.314
zwölf,11,0.314
anlegen,11,0.314
wirken,11,0.314
nötigen,11,0.314
energie,11,0.314
camillus,11,0.314
womit,11,0.314
zerstören,11,0.314
altertum,11,0.314
bevölkerung,11,0.314
feindlich,11,0.314
gefecht,11,0.314
tyrrhenisch,11,0.314
halbinsel,11,0.314
apennin,11,0.314
phalanx,11,0.314
nah,11,0.314
alba,11,0.314
ariminum,11,0.314
ebene,11,0.314
gelingen,11,0.314
führend,11,0.314
herniker,11,0.314
reiter,11,0.314
thurii,11,0.314
herakleia,11,0.314
apuli,11,0.314
epeirotisch,11,0.314
furchtbar,10,0.285
regieren,10,0.285
gänzlich,10,0.285
reform,10,0.285
hinsicht,10,0.285
gleichfalls,10,0.285
caere,10,0.285
begreiflich,10,0.285
besonderer,10,0.285
erlassen,10,0.285
lauf,10,0.285
zeugnis,10,0.285
eintritt,10,0.285
gemeindeamt,10,0.285
prozeß,10,0.285
umwandeln,10,0.285
stimme,10,0.285
einst,10,0.285
gemeindeversammlung,10,0.285
last,10,0.285
stimmrecht,10,0.285
abstimmung,10,0.285
vernichtung,10,0.285
gemeinsam,10,0.285
neuerung,10,0.285
ausgleichung,10,0.285
dauernd,10,0.285
landrecht,10,0.285
aufgeben,10,0.285
vorher,10,0.285
teilnahme,10,0.285
rolle,10,0.285
überwinden,10,0.285
natur,10,0.285
wobei,10,0.285
gewicht,10,0.285
rechtzeitig,10,0.285
gesetzgebung,10,0.285
hader,10,0.285
ständisch,10,0.285
rasch,10,0.285
manius,10,0.285
wählen,10,0.285
verfahren,10,0.285
frage,10,0.285
heftig,10,0.285
berichten,10,0.285
übergewicht,10,0.285
miteinander,10,0.285
zuvor,10,0.285
entreißen,10,0.285
grab,10,0.285
griechenland,10,0.285
wodurch,10,0.285
abermals,10,0.285
sinken,10,0.285
burg,10,0.285
besitzen,10,0.285
offiziell,10,0.285
befinden,10,0.285
tatsache,10,0.285
glänzend,10,0.285
untertänig,10,0.285
beherrschen,10,0.285
erweitern,10,0.285
durchgängig,10,0.285
rullianus,10,0.285
selbständigkeit,10,0.285
ergreifen,10,0.285
beschränkt,10,0.285
hinein,10,0.285
sitz,10,0.285
geld,10,0.285
westen,10,0.285
seemacht,10,0.285
empfangen,10,0.285
ewig,10,0.285
zug,10,0.285
livius,10,0.285
umbrer,10,0.285
ungleich,10,0.285
angabe,10,0.285
hegemonie,10,0.285
pomptinisch,10,0.285
tarracina,10,0.285
lanuvium,10,0.285
reiterei,10,0.285
scipio,10,0.285
venusia,10,0.285
tradition,10,0.285
vorsteher,9,0.257
insasse,9,0.257
demokratisch,9,0.257
angeblich,9,0.257
vertreiben,9,0.257
ungeheuer,9,0.257
klar,9,0.257
unterliegen,9,0.257
ausdehnen,9,0.257
drohen,9,0.257
tendenz,9,0.257
amtsgewalt,9,0.257
nachfolger,9,0.257
ernennung,9,0.257
verlassen,9,0.257
erstrecken,9,0.257
ständig,9,0.257
vorschrift,9,0.257
behalten,9,0.257
geschäft,9,0.257
charakter,9,0.257
aufnehmen,9,0.257
altbürger,9,0.257
souverän,9,0.257
sämtlich,9,0.257
wenngleich,9,0.257
verhandlung,9,0.257
gefallen,9,0.257
element,9,0.257
geschlechtsadel,9,0.257
vorrecht,9,0.257
stempel,9,0.257
abschließen,9,0.257
herrschen,9,0.257
mannschaft,9,0.257
entschieden,9,0.257
