band,left,unnamed:2,unnamed:3,unnamed:4,unnamed:5,unnamed:6,unnamed:7,unnamed:8,unnamed:9,unnamed:10,keyword,right,unnamed:13,unnamed:14,unnamed:15,unnamed:16,unnamed:17,unnamed:18,unnamed:19,unnamed:20,unnamed:21,context,adjectives
Buch4,waren,die,Ergebnisse,der,Sicherheitspolizei,wie,sie,von,dem,romischen,Senat,und,dessen,Beamten,in,Italien,und,den,Provinzen,gehandhabt,ward,waren Senat und,[]
Buch4,übersetzt,das,erste,und,einzige,Beispiel,einer,von,dem,römischen,Senat,veranlaßten,literarischen,Unternehmung,Dieselbe,Tendenz,offenbart,sich,in,einer,wichtigeren,übersetzt Senat veranlaßten,[]
Buch4,ihm,freilich,nicht,wenig,verdacht,ward,von,denjenigen,Kollegen,im,Senat,die,auf,ihre,edle,Geburt,als,einzige,Auszeichnung,angewiesen,waren,ihm Senat die,[]
Buch4,seiner,ädilicischen,Spiele,hatte,ihm,schweren,und,verdienten,Tadel,vom,Senat,zugezogen,I,806,während,er,durch,sein,Einschreiten,in,dem,seiner Senat zugezogen,[]
Buch4,sich,aus,der,derzeitige,Oberpontifex,als,Mensch,und,Rechtsgelehrter,im,Senat,wie,in,der,Bürgerschaft,allgemein,verehrt,Sogar,dessen,Bruder,Publius,sich Senat wie,[]
Buch4,mit,den,Numantinern,abschloß,war,wesentlich,Gracchus,Werk,daß,der,Senat,ihn,kassiert,hatte,daß,der,Feldherr,deswegen,den,Feinden,ausgeliefert,mit Senat ihn,[]
Buch4,jetzt,wie,vor,drei,Jahrhunderten,ihren,wesentlichen,Ausdruck,fanden,im,Senat,war,also,der,Krieg,erklärt,und,seit,langem,zum,erstenmal,jetzt Senat war,[]
Buch4,seines,Veto,sich,zu,bedienen,außer,allem,Zweifel,sei,Der,Senat,machte,jetzt,den,Versuch,Gracchus,einen,leidlichen,Rückzug,zu,eröffnen,seines Senat machte,[]
Buch4,hierauf,ein,Er,suchte,in,diesen,Antrag,hineinzulegen,daß,der,Senat,damit,die,Domanialaufteilung,im,Prinzip,zugestanden,habe,allein,weder,lag,hierauf Senat damit,[]
Buch4,zugestanden,habe,allein,weder,lag,dies,darin,noch,war,der,Senat,irgend,geneigt,in,der,Sache,nachzugeben,die,Verhandlungen,endigten,ohne,zugestanden Senat irgend,['zugestand']
Buch4,Aristokratie,Als,die,neuen,Beamten,sich,wie,üblich,an,den,Senat,wandten,um,ihre,Ausstattungs,und,Taggelder,angewiesen,zu,erhalten,wurden,Aristokratie Senat wandten,[]
Buch4,von,dem,der,Reform,an,sich,nicht,abgeneigten,Metellus,im,Senat,bittere,Worte,hören,mußte,Überhaupt,wenn,er,gemeint,hatte,mit,von Senat bittere,[]
Buch4,daß,er,ohne,Wiederwahl,sein,Amt,fortzuführen,entschlossen,sei,Der,Senat,versammelte,sich,im,Tempel,der,Treue,hart,bei,dem,Jupitertempel,daß Senat versammelte,[]
Buch4,die,Ermordung,zu,verhindern,gesucht,hatte,verteidigte,sie,später,im,Senat,als,Scipio,Aemilianus,nach,seiner,Rückkehr,aus,Spanien,622,aufgefordert,die Senat als,[]
Buch4,finden,können,Rom,wurde,um,diese,Zeit,regiert,durch,den,Senat,Wer,gegen,die,Majorität,des,Senats,eine,Verwaltungsmaßregel,durchsetzte,der,finden Senat Wer,[]
Buch4,Buchstaben,als,er,das,Korrektiv,der,Staatsmaschine,durch,welches,der,Senat,die,Eingriffe,in,sein,Regiment,verfassungsmäßig,beseitigte,die,tribunicische,Intercession,Buchstaben Senat die,[]
Buch4,auch,den,Kontionen,Eingriffe,in,die,Verwaltung,gestattete,und,dem,Senat,das,Werkzeug,zur,Verhütung,solcher,Eingriffe,aus,den,Händen,wand,auch Senat das,[]
Buch4,Fragen,nie,an,die,Bürgerschaft,gebracht,sondern,lediglich,sie,im,Senat,verhandelt,I,827,Darum,bezeichnen,Gracchus,Zeitgenossen,die,Männer,des,Fragen Senat verhandelt,[]
Buch4,Regiment,war,so,durchaus,verderblich,daß,der,Bürger,der,den,Senat,ab,und,sich,an,dessen,Stelle,zu,setzen,vermochte,vielleicht,Regiment Senat ab,[]
Buch4,überlebten,ihren,Urheber,Dem,verkommenen,agrikolen,Proletariat,gegenüber,konnte,der,Senat,wohl,einen,Mordwagen,aber,nicht,diesen,Mord,zur,Aufhebung,des,überlebten Senat wohl,['überlebt']
Buch4,Aemilianus,die,der,Reform,wenigstens,nicht,abgeneigt,war,selbst,im,Senat,für,jetzt,die,Oberhand,und,ausdrücklich,wies,ein,Senatsbeschluß,die,Aemilianus Senat für,['aemilianus']
Buch4,Wie,laut,und,großenteils,begründet,auch,die,Klagen,waren,der,Senat,ließ,die,Aufteiler,gewähren,es,war,einleuchtend,daß,wenn,man,Wie Senat ließ,[]
Buch4,der,ausgezeichnetsten,Rednertalente,dieser,Zeit,hatte,als,Volkstribun,623,dem,Senat,nicht,wenig,zu,schaffen,gemacht,die,geheime,Abstimmung,in,den,der Senat nicht,[]
Buch4,nahm,vorwiegend,diese,Richtung,Um,ihr,zu,begegnen,ließ,der,Senat,628,durch,den,Volkstribun,Marcus,Junius,Pennus,die,Ausweisung,sämtlicher,nahm Senat 628,[]
